t	u	v	z						
4.45E-02	0.068475036	-2.35E-02	-2.99E-01						
4.46E-02	0.068472878	8.75E-02	-2.81E-01						
4.47E-02	0.068183819	1.74E-01	-2.10E-01						
4.48E-02	0.067567175	1.92E-01	-1.25E-01						
4.49E-02	0.066862099	1.38E-01	-4.74E-02						
4.50E-02	0.066479951	4.37E-02	2.43E-02						
4.51E-02	0.066628391	-5.39E-02	9.88E-02						
4.52E-02	0.067120105	-1.22E-01	1.82E-01						
4.53E-02	0.067640451	-1.45E-01	2.61E-01						
4.54E-02	0.067979403	-1.22E-01	2.67E-01						
4.55E-02	0.068054402	-7.71E-02	1.29E-01						
4.56E-02	0.067834494	-4.66E-02	-1.07E-01						
4.57E-02	0.067336069	-5.39E-02	-2.95E-01						
4.58E-02	0.066683324	-9.53E-02	-3.44E-01						
4.59E-02	0.06612603	-1.50E-01	-2.92E-01						
4.60E-02	0.065834835	-1.95E-01	-2.05E-01						
4.61E-02	0.06577583	-2.15E-01	-1.13E-01						
4.62E-02	0.065874714	-2.00E-01	-1.84E-02						
4.63E-02	0.06624148	-1.44E-01	7.04E-02						
4.64E-02	0.067044856	-4.59E-02	1.06E-01						
4.65E-02	0.068220341	8.50E-02	2.82E-02						
4.66E-02	0.069323488	2.14E-01	-1.56E-01						
4.67E-02	0.069793441	2.93E-01	-3.62E-01						
4.68E-02	0.069441868	2.95E-01	-4.92E-01						
4.69E-02	0.06866195	2.37E-01	-5.22E-01						
4.70E-02	0.06802708	1.57E-01	-4.84E-01						
4.71E-02	0.067851405	8.82E-02	-4.13E-01						
4.72E-02	0.068069477	4.69E-02	-3.25E-01						
4.73E-02	0.068417827	3.58E-02	-2.42E-01						
4.74E-02	0.068616782	4.20E-02	-1.98E-01						
4.75E-02	0.068517471	5.41E-02	-1.94E-01						
4.76E-02	0.068107819	6.73E-02	-1.67E-01						
4.77E-02	0.06761932	7.66E-02	-4.42E-02						
4.78E-02	0.067294876	7.96E-02	1.82E-01						
